feature	score	p-value	c11	c10	c01	c00
what	210429.47	0.0	4642.0	3568.0	10083.0	1199540.0
which	61864.76	0.0	1990.0	3046.0	12735.0	1200062.0
sky	52321.42	0.0	757.0	134.0	13968.0	1202974.0
heaven	47441.89	0.0	736.0	191.0	13989.0	1202917.0
whatever	27685.94	0.0	632.0	523.0	14093.0	1202585.0
that	20228.99	0.0	1625.0	7821.0	13100.0	1195287.0
water	13137.75	0.0	373.0	466.0	14352.0	1202642.0
have	13123.53	0.0	910.0	3740.0	13815.0	1199368.0
whatsoever	11277.04	0.0	233.0	154.0	14492.0	1202954.0
skies	2707.65	0.0	47.0	19.0	14678.0	1203089.0
has	2232.98	0.0	244.0	1599.0	14481.0	1201509.0
as	1738.33	0.0	247.0	2064.0	14478.0	1201044.0
did	1259.03	9.057781128577972e-276	196.0	1775.0	14529.0	1201333.0
aileth	877.76	6.721311825930805e-193	19.0	14.0	14706.0	1203094.0
had	842.42	3.236522964913043e-185	185.0	2228.0	14540.0	1200880.0
having	675.66	5.875062073025883e-149	32.0	84.0	14693.0	1203024.0
rent	508.0	1.729675804978219e-112	23.0	57.0	14702.0	1203051.0
ails	503.56	1.5954029969264377e-111	9.0	4.0	14716.0	1203104.0
very	496.32	6.004840603108054e-110	28.0	91.0	14697.0	1203017.0
contents	438.45	2.359191980544267e-97	11.0	11.0	14714.0	1203097.0
needle	391.76	3.4234124659104014e-87	12.0	17.0	14713.0	1203091.0
tests	372.37	5.706934187770924e-83	14.0	27.0	14711.0	1203081.0
hath	327.89	2.7725741873471324e-73	36.0	237.0	14689.0	1202871.0
cloud	318.34	3.329948935449095e-71	24.0	108.0	14701.0	1203000.0
allah	-295.83	2.665849783340619e-66	0.0	24171.0	14725.0	1178937.0
nightly	239.15	6.019868938348754e-54	6.0	6.0	14719.0	1203102.0
their	234.46	6.348367839332355e-53	156.0	3915.0	14569.0	1199193.0
indecencies	227.45	2.1496900509064267e-51	12.0	36.0	14713.0	1203072.0
luxuries	222.54	2.5306446339473176e-50	5.0	4.0	14720.0	1203104.0
tries	217.42	3.2979100468646424e-49	12.0	38.0	14713.0	1203070.0
cleft	217.04	4.003274610618503e-49	8.0	15.0	14717.0	1203093.0
seldom	217.04	4.003274610618503e-49	8.0	15.0	14717.0	1203093.0
comforts	199.29	2.978692252291656e-45	5.0	5.0	14720.0	1203103.0
heavens	198.73	3.9463994007136444e-45	131.0	3271.0	14594.0	1199837.0
fluid	189.54	4.009893942420794e-43	10.0	30.0	14715.0	1203078.0
split	183.81	7.138251158214887e-42	19.0	118.0	14706.0	1202990.0
insignificant	183.34	9.032725023624816e-42	4.0	3.0	14721.0	1203105.0
little	182.96	1.0938320242048848e-41	46.0	615.0	14679.0	1202493.0
ceiling	181.43	2.3660862638520684e-41	7.0	14.0	14718.0	1203094.0
pouring	174.97	6.0686468811093685e-40	10.0	33.0	14715.0	1203075.0
and	-171.48	3.510592206704106e-39	0.0	14011.0	14725.0	1189097.0
in	-165.5	7.122262160565877e-38	0.0	13522.0	14725.0	1189586.0
devices	159.43	1.503674054991216e-36	4.0	4.0	14721.0	1203104.0
engulfed	159.43	1.503674054991216e-36	4.0	4.0	14721.0	1203104.0
festering	159.43	1.503674054991216e-36	4.0	4.0	14721.0	1203104.0
you	-157.55	3.871826212420724e-36	11.0	14625.0	14714.0	1188483.0
endure	153.09	3.669529442509796e-35	14.0	77.0	14711.0	1203031.0
earnings	151.63	7.630811715024846e-35	8.0	24.0	14717.0	1203084.0
wept	151.63	7.630811715024846e-35	8.0	24.0	14717.0	1203084.0
god	-144.7	2.49362725859727e-33	0.0	11823.0	14725.0	1191285.0
